
# Region: 0 Score: 69.39752960205078
28056, 63724, 392
63724, 63879, 392

# Region: 17 Score: 3.8915627002716064
44672, 82306, 662
44672, 290161, 662
44672, 2433, 662
44672, 118599, 662
44672, 2495, 662
44672, 118352, 662
83725, 118352, 662
44672, 2093, 662

# Region: 18 Score: 12.912392616271973
4632, 15412, 690
4632, 15406, 690
4632, 15308, 690
15393, 4632, 690
4632, 9795, 690
4632, 15412, 691
4632, 15406, 691
4632, 15308, 691
15393, 4632, 691
4632, 9795, 691

# Region: 19 Score: 6.002508640289307
72269, 98636, 233
98636, 72372, 233
72219, 93436, 233
72219, 72372, 233
72219, 98636, 233
72219, 72317, 233
72219, 71422, 233
72219, 136156, 233
72219, 72367, 233

# Region: 20 Score: 5.883182525634766
6934, 9475, 532
6934, 14799, 532
6934, 15624, 532
6934, 16230, 532
16230, 15624, 532
16230, 9475, 532

# Region: 21 Score: 10.105037689208984
85435, 597582, 683
540181, 85435, 683
85435, 11568, 683
85435, 85392, 683
85435, 540182, 683
85435, 597582, 684
540181, 85435, 684
85435, 11568, 684
85435, 85392, 684
85435, 540182, 684

# Region: 22 Score: 5.123028755187988
84239, 84069, 470
29393, 84069, 470

# Region: 23 Score: 4.800539970397949
262579, 268212, 513
268212, 61572, 513
20350, 262579, 513
20350, 268212, 513
20350, 61572, 513
42027, 268212, 513
20350, 84004, 513
262579, 268212, 514
268212, 61572, 514
20350, 262579, 514
20350, 268212, 514
20350, 61572, 514
42027, 268212, 514
20350, 84004, 514

# Region: 24 Score: 3.855292797088623
72219, 72369, 409
72219, 127416, 409
72219, 1410822, 409
72219, 127321, 409
72219, 354138, 409

# Region: 25 Score: 4.655096054077148
16142, 16354, 290
16659, 16218, 290
16659, 16142, 290

# Region: 26 Score: 8.064825057983398
16142, 16354, 223
16142, 11678, 223
8654, 11678, 223
16142, 16354, 224
16142, 11678, 224
8654, 11678, 224
16142, 16354, 225
16142, 11678, 225
8654, 11678, 225

# Region: 27 Score: 4.479344367980957
28622, 29297, 139
28532, 29297, 139
28150, 29297, 139
28159, 29297, 139

# Region: 28 Score: 4.268777847290039
11654, 11645, 625
11654, 11652, 625
11654, 6288, 625
26971, 6288, 625

# Region: 29 Score: 4.123028755187988
11605, 28914, 348
11605, 33862, 348

# Region: 30 Score: 3.838923454284668
84002, 186819, 604
88884, 115639, 604
115547, 88879, 604
115547, 88884, 604
88884, 186819, 604
84002, 115639, 604

# Region: 31 Score: 3.827267646789551
11654, 191800, 629
11654, 19779, 629
11654, 6288, 629
11654, 78319, 629
